Kanji	Kana	Meaning
聞いて下さい	きいてください	please lisen
書いて下さい	かいてください	please write
読んで下さい	よんでください	please read
Ｘページを開けて下さい	Ｘページをあけてください	please open page X
言って下さい	いってください	please say
見て下さい	みてください	please look
ペアで話して下さい	ペアではなしてください	please speak in pairs
